Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW17,EVE,A,1158,1158,1158
ARS,GW18,BHA,H,1183,1109,1201
ARS,GW19,AVL,H,1176,1183,1170
ARS,GW20,BOU,A,1201,1201,1201
ARS,GW21,LIV,H,1201,1201,1253
AVL,GW17,MUN,H,1165,1122,1201
AVL,GW18,CHE,A,1201,1194,1201
AVL,GW19,ARS,A,1376,1399,1338
AVL,GW20,NFO,H,1122,1122,1122
AVL,GW21,CRY,A,1201,1183,1217
BOU,GW17,BUR,H,1061,1001,1122
BOU,GW18,BRE,A,1201,1134,1201
BOU,GW19,CHE,A,1201,1194,1201
BOU,GW20,ARS,H,1266,1323,1217
BOU,GW21,TOT,H,1199,1158,1201
BRE,GW17,WOL,A,1102,1053,1147
BRE,GW18,BOU,H,1183,1122,1201
BRE,GW19,TOT,H,1199,1158,1201
BRE,GW20,EVE,A,1158,1158,1158
BRE,GW21,SUN,H,1122,1122,1122
BHA,GW17,SUN,H,1122,1122,1122
BHA,GW18,ARS,A,1376,1399,1338
BHA,GW19,WHU,A,1089,1053,1122
BHA,GW20,BUR,H,1061,1001,1122
BHA,GW21,MCI,A,1273,1201,1383
BUR,GW17,BOU,A,1201,1201,1201
BUR,GW18,EVE,H,1122,1134,1109
BUR,GW19,NEW,H,1194,1201,1183
BUR,GW20,BHA,A,1194,1134,1201
BUR,GW21,MUN,H,1165,1122,1201
CHE,GW17,NEW,A,1201,1201,1217
CHE,GW18,AVL,H,1176,1183,1170
CHE,GW19,BOU,H,1183,1122,1201
CHE,GW20,MCI,A,1273,1201,1383
CHE,GW21,FUL,A,1158,1170,1147
CRY,GW17,LEE,A,1176,1122,1201
CRY,GW18,TOT,H,1199,1158,1201
CRY,GW19,FUL,H,1109,1095,1122
CRY,GW20,NEW,A,1201,1201,1217
CRY,GW21,AVL,H,1176,1183,1170
EVE,GW17,ARS,H,1266,1323,1217
EVE,GW18,BUR,A,1115,1109,1122
EVE,GW19,NFO,A,1158,1134,1183
EVE,GW20,BRE,H,1165,1122,1201
EVE,GW21,WOL,H,1082,1053,1109
FUL,GW17,NFO,H,1122,1122,1122
FUL,GW18,WHU,A,1089,1053,1122
FUL,GW19,CRY,A,1201,1183,1217
FUL,GW20,LIV,H,1201,1201,1253
FUL,GW21,CHE,H,1201,1170,1201
LEE,GW17,CRY,H,1199,1183,1201
LEE,GW18,SUN,A,1176,1147,1201
LEE,GW19,LIV,A,1223,1201,1295
LEE,GW20,MUN,H,1165,1122,1201
LEE,GW21,NEW,A,1201,1201,1217
LIV,GW17,TOT,A,1201,1183,1201
LIV,GW18,WOL,H,1082,1053,1109
LIV,GW19,LEE,H,1115,1095,1134
LIV,GW20,FUL,A,1158,1170,1147
LIV,GW21,ARS,A,1376,1399,1338
MCI,GW17,WHU,H,1089,1053,1122
MCI,GW18,NFO,A,1158,1134,1183
MCI,GW19,SUN,A,1176,1147,1201
MCI,GW20,CHE,H,1201,1170,1201
MCI,GW21,BHA,H,1183,1109,1201
MUN,GW17,AVL,A,1201,1201,1201
MUN,GW18,NEW,H,1194,1201,1183
MUN,GW19,WOL,H,1082,1053,1109
MUN,GW20,LEE,A,1176,1122,1201
MUN,GW21,BUR,A,1115,1109,1122
NEW,GW17,CHE,H,1201,1170,1201
NEW,GW18,MUN,A,1201,1183,1217
NEW,GW19,BUR,A,1115,1109,1122
NEW,GW20,CRY,H,1199,1183,1201
NEW,GW21,LEE,H,1115,1095,1134
NFO,GW17,FUL,A,1158,1170,1147
NFO,GW18,MCI,H,1206,1201,1253
NFO,GW19,EVE,H,1122,1134,1109
NFO,GW20,AVL,A,1201,1201,1201
NFO,GW21,WHU,A,1089,1053,1122
SUN,GW17,BHA,A,1194,1134,1201
SUN,GW18,LEE,H,1115,1095,1134
SUN,GW19,MCI,H,1206,1201,1253
SUN,GW20,TOT,A,1201,1183,1201
SUN,GW21,BRE,A,1201,1134,1201
TOT,GW17,LIV,H,1201,1201,1253
TOT,GW18,CRY,A,1201,1183,1217
TOT,GW19,BRE,A,1201,1134,1201
TOT,GW20,SUN,H,1122,1122,1122
TOT,GW21,BOU,A,1201,1201,1201
WHU,GW17,MCI,A,1273,1201,1383
WHU,GW18,FUL,H,1109,1095,1122
WHU,GW19,BHA,H,1183,1109,1201
WHU,GW20,WOL,A,1102,1053,1147
WHU,GW21,NFO,H,1122,1122,1122
WOL,GW17,BRE,H,1165,1122,1201
WOL,GW18,LIV,A,1223,1201,1295
WOL,GW19,MUN,A,1201,1183,1217
WOL,GW20,WHU,H,1089,1053,1122
WOL,GW21,EVE,A,1158,1158,1158
